ID;Site;Latitude ;Longitude ;Exact location ;Literary source;Site type;Min_date;Max_date;Bibliography - title nr. 1 ;DOI;Bibliography - title nr. 2 ;DOI;Notes
42;Agia Marina;34,993005;24,945966;Y;;settlement\church;961;1205;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;;;
43;Agia Marina - Nerotrypa (Nerospilia);35,49753;23,920597;Y;;settlement;201;1205;Sanders, Ian F. 1982. Roman Crete: an archaeolog. survey and gazetteer of late Hellenistic, Roman and early Byzantine Crete. Warminster, Wilts: Aris & Phillips.;;;;
44;Agia Roumeli;35,230271;23,960499;Y;Y;settlement\church\cemetery;313;700;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
45;Agia Roumeli;35,230271;23,960499;Y;Y;settlement\church\cemetery;961;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;
46;Agia Roumeli - Ag. Antonios ;35,236002;23,963807;Y;;church;961;1205;Antourakes, Georgios. 1966. Βυζαντινές εκκλησίες των Σφακίων. Kretike estia 178, 567 - 570. ;;;;
47;Agia Roumeli - Ag. Pavlos;35,223536;23,999761;Y;;church;401;700;Gerola, Giuseppe, and K. E. Lassithiotakes. 1961. Topographikos katalogos ton toichographemenon ekklesion tes Κretes. Herakleion: Ekdosis Etairias Kretikon istorikon meleton.;;;;
48;Agia Roumeli - Ag Pavlos ;35,223536;23,999761;Y;;church;961;1205;Gerola, Giuseppe, and K. E. Lassithiotakes. 1961. Topographikos katalogos ton toichographemenon ekklesion tes Κretes. Herakleion: Ekdosis Etairias Kretikon istorikon meleton.;;;;
49;Agia Roumeli (Koimisi Theotokou);35,231108;23,962387;Y;;church;201;800;Gerola, Giuseppe. 1908. Monumenti Veneti nell’ isola di Creta vol. II, Venice;;ΑΔ Β2 Χρονικά 56-59 (2001-2004);;
50;Agia Roumeli Sfakion - Gyalos area;35,230149;23,956669;N;;cemetery;401;700;ΑΔ 25, Μέρος Β΄- 2, 1970. Αρχαιότητες και μνημεία Δυτικής Κρήτης, 465 - 478. Αθήναι. ;;;;
51;Agia Triada ;35,059237;24,792982;Y;;settlement\church;961;1205;Gallas, Klaus, Klaus Wessel, and Manolis Borboudakis, M. 1983. Byzantinische Kreta, Műnchen.;;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Ag. Triada: frescoes end of 14th c. 
